time,Abs
     0.000,     0.100
     0.250,     0.128
     0.500,     0.155
     0.750,     0.177
     1.000,     0.198
     1.250,     0.216
     1.500,     0.231
     1.750,     0.247
     2.000,     0.262
     2.250,     0.273
     2.500,     0.282
     2.750,     0.290
     3.000,     0.300
     3.250,     0.307
     3.500,     0.316
     3.750,     0.323
     4.000,     0.328
     4.250,     0.333
     4.500,     0.336
     4.750,     0.343
     5.000,     0.345
     5.250,     0.350
     5.500,     0.354
     5.750,     0.355
     6.000,     0.358
     6.250,     0.361
     6.500,     0.364
     6.750,     0.367
     7.000,     0.369
     7.250,     0.371
     7.500,     0.372
     7.750,     0.374
     8.000,     0.376
     8.250,     0.377
     8.500,     0.380
     8.750,     0.380
     9.000,     0.381
     9.250,     0.383
     9.500,     0.384
     9.750,     0.387
    10.000,     0.386
    10.250,     0.389
    10.500,     0.389
    10.750,     0.390
    11.000,     0.392
    11.250,     0.393
    11.500,     0.393
    11.750,     0.394
    12.000,     0.395
    12.250,     0.397
    12.500,     0.397
    12.750,     0.398
    13.000,     0.401
    13.250,     0.399
    13.500,     0.401
