time,Abs
     0.000,     0.099
     0.250,     0.119
     0.500,     0.137
     0.750,     0.154
     1.000,     0.168
     1.250,     0.184
     1.500,     0.196
     1.750,     0.210
     2.000,     0.222
     2.250,     0.232
     2.500,     0.240
     2.750,     0.252
     3.000,     0.260
     3.250,     0.270
     3.500,     0.277
     3.750,     0.285
     4.000,     0.291
     4.250,     0.297
     4.500,     0.304
     4.750,     0.308
     5.000,     0.312
     5.250,     0.320
     5.500,     0.325
     5.750,     0.329
     6.000,     0.332
     6.250,     0.335
     6.500,     0.339
     6.750,     0.344
     7.000,     0.346
     7.250,     0.350
     7.500,     0.353
     7.750,     0.356
     8.000,     0.360
     8.250,     0.363
     8.500,     0.365
     8.750,     0.367
     9.000,     0.368
     9.250,     0.369
     9.500,     0.373
     9.750,     0.376
    10.000,     0.378
    10.250,     0.380
    10.500,     0.382
    10.750,     0.381
    11.000,     0.385
    11.250,     0.385
    11.500,     0.386
    11.750,     0.389
    12.000,     0.389
    12.250,     0.391
    12.500,     0.392
    12.750,     0.394
    13.000,     0.396
    13.250,     0.397
    13.500,     0.399
