time,Abs
     0.000,     0.100
     0.250,     0.106
     0.500,     0.110
     0.750,     0.118
     1.000,     0.124
     1.250,     0.132
     1.500,     0.137
     1.750,     0.144
     2.000,     0.151
     2.250,     0.157
     2.500,     0.164
     2.750,     0.172
     3.000,     0.179
     3.250,     0.183
     3.500,     0.192
     3.750,     0.199
     4.000,     0.206
     4.250,     0.212
     4.500,     0.220
     4.750,     0.225
     5.000,     0.233
     5.250,     0.239
     5.500,     0.245
     5.750,     0.253
     6.000,     0.259
     6.250,     0.264
     6.500,     0.271
     6.750,     0.280
     7.000,     0.284
     7.250,     0.292
     7.500,     0.297
     7.750,     0.304
     8.000,     0.307
     8.250,     0.314
     8.500,     0.321
     8.750,     0.325
     9.000,     0.332
     9.250,     0.337
     9.500,     0.342
     9.750,     0.346
    10.000,     0.352
    10.250,     0.359
    10.500,     0.361
    10.750,     0.368
    11.000,     0.371
    11.250,     0.376
    11.500,     0.382
    11.750,     0.384
    12.000,     0.390
    12.250,     0.394
    12.500,     0.397
    12.750,     0.402
    13.000,     0.408
    13.250,     0.409
    13.500,     0.415
