time,Abs
     0.000,     0.102
     0.250,     0.102
     0.500,     0.105
     0.750,     0.108
     1.000,     0.111
     1.250,     0.112
     1.500,     0.118
     1.750,     0.121
     2.000,     0.123
     2.250,     0.127
     2.500,     0.131
     2.750,     0.135
     3.000,     0.137
     3.250,     0.141
     3.500,     0.147
     3.750,     0.151
     4.000,     0.152
     4.250,     0.157
     4.500,     0.161
     4.750,     0.165
     5.000,     0.168
     5.250,     0.172
     5.500,     0.176
     5.750,     0.178
     6.000,     0.182
     6.250,     0.184
     6.500,     0.190
     6.750,     0.191
     7.000,     0.196
     7.250,     0.198
     7.500,     0.202
     7.750,     0.206
     8.000,     0.210
     8.250,     0.211
     8.500,     0.217
     8.750,     0.220
     9.000,     0.224
     9.250,     0.224
     9.500,     0.227
     9.750,     0.231
    10.000,     0.235
    10.250,     0.239
    10.500,     0.240
    10.750,     0.245
    11.000,     0.248
    11.250,     0.251
    11.500,     0.253
    11.750,     0.256
    12.000,     0.260
    12.250,     0.264
    12.500,     0.264
    12.750,     0.268
    13.000,     0.272
    13.250,     0.274
    13.500,     0.276
