time,Abs
     0.000,     0.100
     0.250,     0.203
     0.500,     0.267
     0.750,     0.304
     1.000,     0.327
     1.250,     0.341
     1.500,     0.350
     1.750,     0.356
     2.000,     0.359
     2.250,     0.364
     2.500,     0.364
     2.750,     0.363
     3.000,     0.368
     3.250,     0.367
     3.500,     0.369
     3.750,     0.371
     4.000,     0.371
     4.250,     0.371
     4.500,     0.373
     4.750,     0.372
     5.000,     0.373
     5.250,     0.376
     5.500,     0.375
     5.750,     0.375
     6.000,     0.378
     6.250,     0.377
     6.500,     0.377
     6.750,     0.378
     7.000,     0.379
     7.250,     0.381
     7.500,     0.382
     7.750,     0.384
     8.000,     0.382
     8.250,     0.383
     8.500,     0.381
     8.750,     0.384
     9.000,     0.385
     9.250,     0.385
     9.500,     0.386
     9.750,     0.388
    10.000,     0.387
    10.250,     0.390
    10.500,     0.390
    10.750,     0.391
    11.000,     0.391
    11.250,     0.392
    11.500,     0.392
    11.750,     0.392
    12.000,     0.395
    12.250,     0.393
    12.500,     0.393
    12.750,     0.396
    13.000,     0.397
    13.250,     0.396
    13.500,     0.399
