time,Abs
     0.000,     0.101
     0.250,     0.306
     0.500,     0.435
     0.750,     0.505
     1.000,     0.547
     1.250,     0.570
     1.500,     0.583
     1.750,     0.591
     2.000,     0.595
     2.250,     0.598
     2.500,     0.598
     2.750,     0.600
     3.000,     0.599
     3.250,     0.598
     3.500,     0.599
     3.750,     0.600
     4.000,     0.600
     4.250,     0.602
     4.500,     0.601
     4.750,     0.601
     5.000,     0.600
     5.250,     0.599
     5.500,     0.600
     5.750,     0.601
     6.000,     0.602
     6.250,     0.601
     6.500,     0.600
     6.750,     0.599
     7.000,     0.601
     7.250,     0.599
     7.500,     0.600
     7.750,     0.599
     8.000,     0.599
     8.250,     0.601
     8.500,     0.599
     8.750,     0.602
     9.000,     0.599
     9.250,     0.600
     9.500,     0.599
     9.750,     0.599
    10.000,     0.599
    10.250,     0.599
    10.500,     0.601
    10.750,     0.599
    11.000,     0.602
    11.250,     0.598
    11.500,     0.601
    11.750,     0.599
    12.000,     0.598
    12.250,     0.600
    12.500,     0.599
    12.750,     0.601
    13.000,     0.601
    13.250,     0.602
    13.500,     0.600
