time,Abs
     0.000,     0.100
     0.250,     0.138
     0.500,     0.171
     0.750,     0.199
     1.000,     0.223
     1.250,     0.246
     1.500,     0.262
     1.750,     0.279
     2.000,     0.294
     2.250,     0.305
     2.500,     0.320
     2.750,     0.326
     3.000,     0.334
     3.250,     0.344
     3.500,     0.349
     3.750,     0.357
     4.000,     0.362
     4.250,     0.368
     4.500,     0.372
     4.750,     0.377
     5.000,     0.380
     5.250,     0.385
     5.500,     0.386
     5.750,     0.392
     6.000,     0.391
     6.250,     0.397
     6.500,     0.400
     6.750,     0.403
     7.000,     0.404
     7.250,     0.406
     7.500,     0.409
     7.750,     0.414
     8.000,     0.413
     8.250,     0.415
     8.500,     0.417
     8.750,     0.419
     9.000,     0.422
     9.250,     0.421
     9.500,     0.425
     9.750,     0.429
    10.000,     0.430
    10.250,     0.428
    10.500,     0.433
    10.750,     0.434
    11.000,     0.437
    11.250,     0.438
    11.500,     0.439
    11.750,     0.441
    12.000,     0.443
    12.250,     0.445
    12.500,     0.446
    12.750,     0.447
    13.000,     0.449
    13.250,     0.451
    13.500,     0.453
