time,Abs
     0.000,     0.099
     0.250,     0.176
     0.500,     0.233
     0.750,     0.271
     1.000,     0.301
     1.250,     0.320
     1.500,     0.332
     1.750,     0.344
     2.000,     0.349
     2.250,     0.358
     2.500,     0.362
     2.750,     0.363
     3.000,     0.368
     3.250,     0.370
     3.500,     0.371
     3.750,     0.375
     4.000,     0.375
     4.250,     0.376
     4.500,     0.378
     4.750,     0.379
     5.000,     0.380
     5.250,     0.385
     5.500,     0.384
     5.750,     0.384
     6.000,     0.386
     6.250,     0.385
     6.500,     0.389
     6.750,     0.389
     7.000,     0.390
     7.250,     0.392
     7.500,     0.391
     7.750,     0.395
     8.000,     0.394
     8.250,     0.395
     8.500,     0.397
     8.750,     0.399
     9.000,     0.401
     9.250,     0.400
     9.500,     0.401
     9.750,     0.402
    10.000,     0.403
    10.250,     0.405
    10.500,     0.406
    10.750,     0.406
    11.000,     0.407
    11.250,     0.408
    11.500,     0.409
    11.750,     0.410
    12.000,     0.410
    12.250,     0.412
    12.500,     0.413
    12.750,     0.414
    13.000,     0.415
    13.250,     0.417
    13.500,     0.417
