time,Abs
     0.000,     0.099
     0.250,     0.237
     0.500,     0.304
     0.750,     0.334
     1.000,     0.348
     1.250,     0.358
     1.500,     0.359
     1.750,     0.363
     2.000,     0.365
     2.250,     0.366
     2.500,     0.369
     2.750,     0.368
     3.000,     0.368
     3.250,     0.370
     3.500,     0.368
     3.750,     0.372
     4.000,     0.372
     4.250,     0.374
     4.500,     0.374
     4.750,     0.375
     5.000,     0.376
     5.250,     0.375
     5.500,     0.378
     5.750,     0.378
     6.000,     0.380
     6.250,     0.379
     6.500,     0.380
     6.750,     0.381
     7.000,     0.383
     7.250,     0.385
     7.500,     0.384
     7.750,     0.384
     8.000,     0.386
     8.250,     0.385
     8.500,     0.388
     8.750,     0.387
     9.000,     0.390
     9.250,     0.388
     9.500,     0.392
     9.750,     0.390
    10.000,     0.392
    10.250,     0.392
    10.500,     0.395
    10.750,     0.394
    11.000,     0.396
    11.250,     0.395
    11.500,     0.395
    11.750,     0.395
    12.000,     0.399
    12.250,     0.396
    12.500,     0.400
    12.750,     0.400
    13.000,     0.400
    13.250,     0.400
    13.500,     0.402
