time,Abs
     0.000,     0.101
     0.250,     0.207
     0.500,     0.294
     0.750,     0.359
     1.000,     0.413
     1.250,     0.457
     1.500,     0.489
     1.750,     0.513
     2.000,     0.532
     2.250,     0.546
     2.500,     0.559
     2.750,     0.569
     3.000,     0.577
     3.250,     0.581
     3.500,     0.587
     3.750,     0.587
     4.000,     0.591
     4.250,     0.592
     4.500,     0.594
     4.750,     0.596
     5.000,     0.597
     5.250,     0.596
     5.500,     0.598
     5.750,     0.598
     6.000,     0.597
     6.250,     0.600
     6.500,     0.599
     6.750,     0.601
     7.000,     0.599
     7.250,     0.599
     7.500,     0.599
     7.750,     0.600
     8.000,     0.601
     8.250,     0.601
     8.500,     0.600
     8.750,     0.598
     9.000,     0.600
     9.250,     0.600
     9.500,     0.600
     9.750,     0.600
    10.000,     0.600
    10.250,     0.602
    10.500,     0.599
    10.750,     0.600
    11.000,     0.601
    11.250,     0.599
    11.500,     0.600
    11.750,     0.600
    12.000,     0.601
    12.250,     0.600
    12.500,     0.600
    12.750,     0.600
    13.000,     0.598
    13.250,     0.600
    13.500,     0.601
