time,Abs
     0.000,     0.101
     0.250,     0.151
     0.500,     0.199
     0.750,     0.240
     1.000,     0.279
     1.250,     0.313
     1.500,     0.341
     1.750,     0.370
     2.000,     0.395
     2.250,     0.415
     2.500,     0.437
     2.750,     0.453
     3.000,     0.468
     3.250,     0.483
     3.500,     0.497
     3.750,     0.508
     4.000,     0.518
     4.250,     0.527
     4.500,     0.534
     4.750,     0.543
     5.000,     0.548
     5.250,     0.552
     5.500,     0.560
     5.750,     0.564
     6.000,     0.568
     6.250,     0.571
     6.500,     0.575
     6.750,     0.578
     7.000,     0.581
     7.250,     0.582
     7.500,     0.584
     7.750,     0.585
     8.000,     0.587
     8.250,     0.588
     8.500,     0.589
     8.750,     0.592
     9.000,     0.592
     9.250,     0.592
     9.500,     0.591
     9.750,     0.594
    10.000,     0.594
    10.250,     0.596
    10.500,     0.595
    10.750,     0.598
    11.000,     0.599
    11.250,     0.597
    11.500,     0.597
    11.750,     0.597
    12.000,     0.596
    12.250,     0.598
    12.500,     0.598
    12.750,     0.598
    13.000,     0.599
    13.250,     0.598
    13.500,     0.598
