time,Abs
     0.000,     0.100
     0.250,     0.129
     0.500,     0.160
     0.750,     0.185
     1.000,     0.210
     1.250,     0.234
     1.500,     0.254
     1.750,     0.277
     2.000,     0.294
     2.250,     0.314
     2.500,     0.329
     2.750,     0.345
     3.000,     0.360
     3.250,     0.374
     3.500,     0.385
     3.750,     0.399
     4.000,     0.408
     4.250,     0.420
     4.500,     0.430
     4.750,     0.439
     5.000,     0.447
     5.250,     0.457
     5.500,     0.464
     5.750,     0.474
     6.000,     0.481
     6.250,     0.486
     6.500,     0.492
     6.750,     0.500
     7.000,     0.504
     7.250,     0.510
     7.500,     0.514
     7.750,     0.517
     8.000,     0.523
     8.250,     0.528
     8.500,     0.532
     8.750,     0.534
     9.000,     0.539
     9.250,     0.543
     9.500,     0.546
     9.750,     0.548
    10.000,     0.551
    10.250,     0.556
    10.500,     0.556
    10.750,     0.558
    11.000,     0.563
    11.250,     0.563
    11.500,     0.564
    11.750,     0.567
    12.000,     0.569
    12.250,     0.570
    12.500,     0.571
    12.750,     0.574
    13.000,     0.575
    13.250,     0.577
    13.500,     0.577
