time,Abs
     0.000,     0.101
     0.250,     0.232
     0.500,     0.299
     0.750,     0.331
     1.000,     0.346
     1.250,     0.356
     1.500,     0.359
     1.750,     0.365
     2.000,     0.363
     2.250,     0.366
     2.500,     0.367
     2.750,     0.367
     3.000,     0.369
     3.250,     0.369
     3.500,     0.369
     3.750,     0.369
     4.000,     0.369
     4.250,     0.371
     4.500,     0.372
     4.750,     0.373
     5.000,     0.372
     5.250,     0.374
     5.500,     0.376
     5.750,     0.374
     6.000,     0.378
     6.250,     0.377
     6.500,     0.378
     6.750,     0.378
     7.000,     0.379
     7.250,     0.381
     7.500,     0.380
     7.750,     0.382
     8.000,     0.380
     8.250,     0.382
     8.500,     0.385
     8.750,     0.384
     9.000,     0.385
     9.250,     0.383
     9.500,     0.386
     9.750,     0.388
    10.000,     0.388
    10.250,     0.388
    10.500,     0.389
    10.750,     0.388
    11.000,     0.390
    11.250,     0.390
    11.500,     0.389
    11.750,     0.391
    12.000,     0.393
    12.250,     0.391
    12.500,     0.395
    12.750,     0.395
    13.000,     0.395
    13.250,     0.396
    13.500,     0.397
