time,Abs
     0.000,     0.098
     0.250,     0.168
     0.500,     0.219
     0.750,     0.256
     1.000,     0.284
     1.250,     0.304
     1.500,     0.321
     1.750,     0.332
     2.000,     0.340
     2.250,     0.347
     2.500,     0.354
     2.750,     0.356
     3.000,     0.361
     3.250,     0.362
     3.500,     0.363
     3.750,     0.368
     4.000,     0.370
     4.250,     0.372
     4.500,     0.371
     4.750,     0.374
     5.000,     0.375
     5.250,     0.373
     5.500,     0.374
     5.750,     0.375
     6.000,     0.375
     6.250,     0.377
     6.500,     0.378
     6.750,     0.380
     7.000,     0.380
     7.250,     0.379
     7.500,     0.382
     7.750,     0.380
     8.000,     0.383
     8.250,     0.383
     8.500,     0.385
     8.750,     0.383
     9.000,     0.384
     9.250,     0.386
     9.500,     0.388
     9.750,     0.389
    10.000,     0.390
    10.250,     0.389
    10.500,     0.390
    10.750,     0.390
    11.000,     0.391
    11.250,     0.392
    11.500,     0.394
    11.750,     0.392
    12.000,     0.395
    12.250,     0.395
    12.500,     0.397
    12.750,     0.396
    13.000,     0.396
    13.250,     0.398
    13.500,     0.397
