time,Abs
     0.000,     0.100
     0.250,     0.121
     0.500,     0.139
     0.750,     0.154
     1.000,     0.171
     1.250,     0.188
     1.500,     0.200
     1.750,     0.215
     2.000,     0.229
     2.250,     0.242
     2.500,     0.255
     2.750,     0.267
     3.000,     0.278
     3.250,     0.289
     3.500,     0.300
     3.750,     0.310
     4.000,     0.318
     4.250,     0.329
     4.500,     0.337
     4.750,     0.346
     5.000,     0.352
     5.250,     0.361
     5.500,     0.369
     5.750,     0.375
     6.000,     0.382
     6.250,     0.387
     6.500,     0.395
     6.750,     0.400
     7.000,     0.407
     7.250,     0.409
     7.500,     0.418
     7.750,     0.423
     8.000,     0.429
     8.250,     0.433
     8.500,     0.438
     8.750,     0.441
     9.000,     0.449
     9.250,     0.452
     9.500,     0.456
     9.750,     0.458
    10.000,     0.462
    10.250,     0.468
    10.500,     0.472
    10.750,     0.472
    11.000,     0.478
    11.250,     0.480
    11.500,     0.484
    11.750,     0.487
    12.000,     0.491
    12.250,     0.494
    12.500,     0.496
    12.750,     0.498
    13.000,     0.501
    13.250,     0.504
    13.500,     0.506
