time,Abs
     0.000,     0.099
     0.250,     0.116
     0.500,     0.132
     0.750,     0.144
     1.000,     0.162
     1.250,     0.174
     1.500,     0.189
     1.750,     0.203
     2.000,     0.213
     2.250,     0.228
     2.500,     0.238
     2.750,     0.249
     3.000,     0.261
     3.250,     0.271
     3.500,     0.281
     3.750,     0.289
     4.000,     0.301
     4.250,     0.312
     4.500,     0.319
     4.750,     0.328
     5.000,     0.336
     5.250,     0.342
     5.500,     0.351
     5.750,     0.359
     6.000,     0.367
     6.250,     0.374
     6.500,     0.383
     6.750,     0.386
     7.000,     0.395
     7.250,     0.401
     7.500,     0.406
     7.750,     0.412
     8.000,     0.418
     8.250,     0.424
     8.500,     0.430
     8.750,     0.434
     9.000,     0.440
     9.250,     0.444
     9.500,     0.448
     9.750,     0.453
    10.000,     0.460
    10.250,     0.462
    10.500,     0.465
    10.750,     0.470
    11.000,     0.475
    11.250,     0.478
    11.500,     0.483
    11.750,     0.484
    12.000,     0.488
    12.250,     0.494
    12.500,     0.495
    12.750,     0.499
    13.000,     0.503
    13.250,     0.505
    13.500,     0.507
