time,Abs
     0.000,     0.101
     0.250,     0.216
     0.500,     0.284
     0.750,     0.319
     1.000,     0.340
     1.250,     0.352
     1.500,     0.359
     1.750,     0.364
     2.000,     0.367
     2.250,     0.367
     2.500,     0.370
     2.750,     0.371
     3.000,     0.372
     3.250,     0.372
     3.500,     0.375
     3.750,     0.378
     4.000,     0.379
     4.250,     0.379
     4.500,     0.380
     4.750,     0.381
     5.000,     0.382
     5.250,     0.383
     5.500,     0.387
     5.750,     0.385
     6.000,     0.388
     6.250,     0.389
     6.500,     0.390
     6.750,     0.391
     7.000,     0.391
     7.250,     0.392
     7.500,     0.395
     7.750,     0.394
     8.000,     0.395
     8.250,     0.399
     8.500,     0.398
     8.750,     0.399
     9.000,     0.402
     9.250,     0.402
     9.500,     0.402
     9.750,     0.403
    10.000,     0.404
    10.250,     0.404
    10.500,     0.407
    10.750,     0.408
    11.000,     0.409
    11.250,     0.411
    11.500,     0.410
    11.750,     0.412
    12.000,     0.414
    12.250,     0.414
    12.500,     0.415
    12.750,     0.416
    13.000,     0.416
    13.250,     0.418
    13.500,     0.419
